wordindex,word,surah,ayah,startx,starty,width,pageno,rawword,pageno1
493,فَقَالَ,2,31,,,,7,فقال,6
494,أَنبِئُونِي,2,31,,,,7,أنبئوني,6
495,بِأَسْمَاءِ,2,31,,,,7,بأسماء,6
496,هَٰؤُلَاءِ,2,31,,,,7,هؤلاء,6
497,إِن,2,31,,,,7,إن,6
498,كُنتُمْ,2,31,,,,7,كنتم,6
499,صَادِقِينَ,2,31,,,,7,صادقين,6
500,قَالُوا,2,32,,,,7,قالوا,6
501,سُبْحَانَكَ,2,32,,,,7,سبحانك,6
502,لَا,2,32,,,,7,لا,6
503,عِلْمَ,2,32,,,,7,علم,6
504,لَنَا,2,32,,,,7,لنا,6
505,إِلَّا,2,32,,,,7,إلا,6
506,مَا,2,32,,,,7,ما,6
507,عَلَّمْتَنَا,2,32,,,,7,علمتنا,6
508,إِنَّكَ,2,32,,,,7,إنك,6
509,أَنتَ,2,32,,,,7,أنت,6
510,الْعَلِيمُ,2,32,,,,7,العليم,6
511,الْحَكِيمُ,2,32,,,,7,الحكيم,6
512,قَالَ,2,33,,,,7,قال,6
513,يَا,2,33,,,,7,يا,6
